Paper,Year,Citations
1985PhRvA..31.1695H,1985,4
1985PhRvA..31.1695H,1986,16
1985PhRvA..31.1695H,1987,22
1985PhRvA..31.1695H,1988,34
1985PhRvA..31.1695H,1989,50
1985PhRvA..31.1695H,1990,69
1985PhRvA..31.1695H,1991,81
1985PhRvA..31.1695H,1992,108
1985PhRvA..31.1695H,1993,138
1985PhRvA..31.1695H,1994,172
1985PhRvA..31.1695H,1995,212
1985PhRvA..31.1695H,1996,250
1985PhRvA..31.1695H,1997,305
1985PhRvA..31.1695H,1998,375
1985PhRvA..31.1695H,1999,448
1985PhRvA..31.1695H,2000,536
1985PhRvA..31.1695H,2001,607
1985PhRvA..31.1695H,2002,706
1985PhRvA..31.1695H,2003,798
1985PhRvA..31.1695H,2004,903
1985PhRvA..31.1695H,2005,1036
1985PhRvA..31.1695H,2006,1191
1985PhRvA..31.1695H,2007,1350
1985PhRvA..31.1695H,2008,1516
1985PhRvA..31.1695H,2009,1723
1985PhRvA..31.1695H,2010,1926
1985PhRvA..31.1695H,2011,2178
1985PhRvA..31.1695H,2012,2472
1985PhRvA..31.1695H,2013,2771
1985PhRvA..31.1695H,2014,3124
1985PhRvA..31.1695H,2015,3487
1985PhRvA..31.1695H,2016,3890
1985PhRvA..31.1695H,2017,4192
1985PhRvA..31.1695H,2018,4197
1985Natur.318..162K,1986,32
1985Natur.318..162K,1987,65
1985Natur.318..162K,1988,100
1985Natur.318..162K,1989,123
1985Natur.318..162K,1990,160
1985Natur.318..162K,1991,302
1985Natur.318..162K,1992,535
1985Natur.318..162K,1993,822
1985Natur.318..162K,1994,998
1985Natur.318..162K,1995,1142
1985Natur.318..162K,1996,1291
1985Natur.318..162K,1997,1420
1985Natur.318..162K,1998,1538
1985Natur.318..162K,1999,1674
1985Natur.318..162K,2000,1793
1985Natur.318..162K,2001,1907
1985Natur.318..162K,2002,2042
1985Natur.318..162K,2003,2153
1985Natur.318..162K,2004,2267
1985Natur.318..162K,2005,2402
1985Natur.318..162K,2006,2542
1985Natur.318..162K,2007,2644
1985Natur.318..162K,2008,2781
1985Natur.318..162K,2009,2933
1985Natur.318..162K,2010,3065
1985Natur.318..162K,2011,3220
1985Natur.318..162K,2012,3376
1985Natur.318..162K,2013,3545
1985Natur.318..162K,2014,3678
1985Natur.318..162K,2015,3832
1985Natur.318..162K,2016,3986
1985Natur.318..162K,2017,4104
1985Natur.318..162K,2018,4106
1985hocs.book.....P,1986,0
1985hocs.book.....P,1987,0
1985hocs.book.....P,1988,0
1985hocs.book.....P,1989,0
1985hocs.book.....P,1990,0
1985hocs.book.....P,1991,0
1985hocs.book.....P,1992,0
1985hocs.book.....P,1993,0
1985hocs.book.....P,1994,0
1985hocs.book.....P,1995,0
1985hocs.book.....P,1996,0
1985hocs.book.....P,1997,0
1985hocs.book.....P,1998,0
1985hocs.book.....P,1999,0
1985hocs.book.....P,2000,0
1985hocs.book.....P,2001,0
1985hocs.book.....P,2002,0
1985hocs.book.....P,2003,0
1985hocs.book.....P,2004,0
1985hocs.book.....P,2005,0
1985hocs.book.....P,2006,0
1985hocs.book.....P,2007,0
1985hocs.book.....P,2008,0
1985hocs.book.....P,2009,0
1985hocs.book.....P,2010,0
1985hocs.book.....P,2011,0
1985hocs.book.....P,2012,0
1985hocs.book.....P,2013,0
1985hocs.book.....P,2014,0
1985hocs.book.....P,2015,0
1985hocs.book.....P,2016,0
1985hocs.book.....P,2017,0
1985ApJ...288..618R,1985,11
1985ApJ...288..618R,1986,27
1985ApJ...288..618R,1987,50
1985ApJ...288..618R,1988,87
1985ApJ...288..618R,1989,125
1985ApJ...288..618R,1990,177
1985ApJ...288..618R,1991,224
1985ApJ...288..618R,1992,273
1985ApJ...288..618R,1993,317
1985ApJ...288..618R,1994,386
1985ApJ...288..618R,1995,442
1985ApJ...288..618R,1996,514
1985ApJ...288..618R,1997,580
1985ApJ...288..618R,1998,662
1985ApJ...288..618R,1999,735
1985ApJ...288..618R,2000,812
1985ApJ...288..618R,2001,901
1985ApJ...288..618R,2002,980
1985ApJ...288..618R,2003,1078
1985ApJ...288..618R,2004,1189
1985ApJ...288..618R,2005,1279
1985ApJ...288..618R,2006,1381
1985ApJ...288..618R,2007,1490
1985ApJ...288..618R,2008,1594
1985ApJ...288..618R,2009,1691
1985ApJ...288..618R,2010,1774
1985ApJ...288..618R,2011,1854
1985ApJ...288..618R,2012,1938
1985ApJ...288..618R,2013,2008
1985ApJ...288..618R,2014,2083
1985ApJ...288..618R,2015,2139
1985ApJ...288..618R,2016,2184
1985ApJ...288..618R,2017,2223
1985ADNDT..32....1Y,1985,2
1985ADNDT..32....1Y,1986,20
1985ADNDT..32....1Y,1987,52
1985ADNDT..32....1Y,1988,85
1985ADNDT..32....1Y,1989,140
1985ADNDT..32....1Y,1990,228
1985ADNDT..32....1Y,1991,293
1985ADNDT..32....1Y,1992,372
1985ADNDT..32....1Y,1993,469
1985ADNDT..32....1Y,1994,539
1985ADNDT..32....1Y,1995,629
1985ADNDT..32....1Y,1996,701
1985ADNDT..32....1Y,1997,778
