Author,Year,Citations,Journal,
Hoover,1985,4, Physical Review A,
Hoover,1986,16, Physical Review A,
Hoover,1987,22, Physical Review A,
Hoover,1988,34, Physical Review A,
Hoover,1989,50, Physical Review A,
Hoover,1990,69, Physical Review A,
Hoover,1991,81, Physical Review A,
Hoover,1992,108, Physical Review A,
Hoover,1993,138, Physical Review A,
Hoover,1994,172, Physical Review A,
Hoover,1995,212, Physical Review A,
Hoover,1996,250, Physical Review A,
Hoover,1997,305, Physical Review A,
Hoover,1998,375, Physical Review A,
Hoover,1999,448, Physical Review A,
Hoover,2000,536, Physical Review A,
Hoover,2001,607, Physical Review A,
Hoover,2002,706, Physical Review A,
Hoover,2003,798, Physical Review A,
Hoover,2004,903, Physical Review A,
Hoover,2005,1036, Physical Review A,
Hoover,2006,1191, Physical Review A,
Hoover,2007,1350, Physical Review A,
Hoover,2008,1516, Physical Review A,
Hoover,2009,1723, Physical Review A,
Hoover,2010,1926, Physical Review A,
Hoover,2011,2178, Physical Review A,
Hoover,2012,2472, Physical Review A,
Hoover,2013,2771, Physical Review A,
Hoover,2014,3124, Physical Review A,
Hoover,2015,3487, Physical Review A,
Hoover,2016,3890, Physical Review A,
Hoover,2017,4192, Physical Review A,
Hoover,2018,4197, Physical Review A,
Kroto,1986,32, Nature,
Kroto,1987,65, Nature,
Kroto,1988,100, Nature,
Kroto,1989,123, Nature,
Kroto,1990,160, Nature,
Kroto,1991,302, Nature,
Kroto,1992,535, Nature,
Kroto,1993,822, Nature,
Kroto,1994,998, Nature,
Kroto,1995,1142, Nature,
Kroto,1996,1291, Nature,
Kroto,1997,1420, Nature,
Kroto,1998,1538, Nature,
Kroto,1999,1674, Nature,
Kroto,2000,1793, Nature,
Kroto,2001,1907, Nature,
Kroto,2002,2042, Nature,
Kroto,2003,2153, Nature,
Kroto,2004,2267, Nature,
Kroto,2005,2402, Nature,
Kroto,2006,2542, Nature,
Kroto,2007,2644, Nature,
Kroto,2008,2781, Nature,
